bad,worse,worse2,worse3,worse4,worse5
406628.0,376819.0,376819.0,377015.0,375343.0,376819.0
284559.0,284559.0,275527.0,273423.0,275527.0,275527.0
414743.0,387424.0,387424.0,387498.0,388042.0,387424.0
287300.0,268004.0,260190.0,264522.0,266738.0,260190.0
73056.0,73056.0,73056.0,73056.0,73056.0,73056.0
150605.0,143547.0,129670.0,132596.0,131361.0,129670.0
383436.0,383436.0,383436.0,380703.0,383436.0,383436.0
398052.0,398052.0,398052.0,398052.0,398052.0,398052.0
101111.0,101111.0,101111.0,101111.0,101111.0,101085.0
86480.0,86480.0,86480.0,86480.0,86480.0,86480.0
284371.0,204401.0,204401.0,204401.0,204401.0,204401.0
52372.0,52372.0,52372.0,52372.0,52372.0,52372.0
261830.0,219965.0,202655.0,203638.0,205854.0,202655.0
250762.0,240370.0,217658.0,217658.0,217658.0,217658.0
309106.0,309106.0,309106.0,309106.0,309106.0,309106.0
458833.0,458833.0,458833.0,458833.0,458833.0,458833.0
121724.0,121724.0,115312.0,115312.0,115312.0,115312.0
264956.0,264956.0,252138.0,256977.0,252729.0,252138.0
17892.0,17892.0,17892.0,17892.0,17892.0,17892.0
255561.0,190750.0,191682.0,191682.0,191682.0,191682.0
291282.0,284309.0,268977.0,268977.0,268088.0,268977.0
237586.0,237586.0,237586.0,237586.0,237586.0,237586.0
193768.0,193768.0,193768.0,193768.0,193768.0,193768.0
312439.0,312439.0,312439.0,312439.0,312439.0,312439.0
30795.0,30795.0,30795.0,30795.0,30795.0,30795.0
84859.0,84859.0,84859.0,84859.0,84859.0,84859.0
244618.0,178388.0,176411.0,176411.0,176027.0,176411.0
381811.0,381811.0,381811.0,381811.0,381811.0,381811.0
341780.0,283041.0,283041.0,283944.0,285114.0,283041.0
428175.0,411423.0,411423.0,411423.0,407442.0,411423.0
216874.0,216882.0,210152.0,210152.0,210152.0,210152.0
29750.0,29750.0,29750.0,29750.0,29750.0,29750.0
34709.0,33604.0,38113.0,37243.0,37243.0,29956.0
456620.0,436143.0,436143.0,436143.0,437249.0,436143.0
201304.0,185051.0,172861.0,169472.0,171903.0,172861.0
87739.0,87739.0,87739.0,87739.0,87739.0,87739.0
138222.0,138222.0,138222.0,138222.0,138222.0,138222.0
96499.0,96499.0,96499.0,96499.0,96499.0,96499.0
